Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Lat(s),Dec_Thr(Mbps)
0.00,-24.08,1.1314e+01,426,100,102,1.3051e-01,9.8039e-01,1.3186e-01,1.2928e-03,2.4753e+04,1.5698e-04,2.0384e-01
1.00,-23.08,1.0083e+01,351,100,103,1.0649e-01,9.7087e-01,1.2969e-01,1.2592e-03,2.5414e+04,1.5272e-04,2.0953e-01
2.00,-22.08,8.9868e+00,257,100,105,7.6488e-02,9.5238e-01,1.3233e-01,1.2602e-03,2.5392e+04,1.5254e-04,2.0978e-01
3.00,-21.08,8.0095e+00,214,100,129,5.1841e-02,7.7519e-01,1.6276e-01,1.2617e-03,2.5363e+04,1.5209e-04,2.1040e-01
4.00,-20.08,7.1385e+00,174,100,140,3.8839e-02,7.1429e-01,1.7716e-01,1.2655e-03,2.5287e+04,1.5275e-04,2.0949e-01
5.00,-19.08,6.3622e+00,135,100,198,2.1307e-02,5.0505e-01,2.5080e-01,1.2666e-03,2.5263e+04,1.5308e-04,2.0904e-01
6.00,-18.08,5.6703e+00,118,100,320,1.1523e-02,3.1250e-01,4.0621e-01,1.2694e-03,2.5208e+04,1.5245e-04,2.0991e-01
7.00,-17.08,5.0536e+00,106,100,525,6.3095e-03,1.9048e-01,6.6760e-01,1.2716e-03,2.5165e+04,1.5265e-04,2.0963e-01
8.00,-16.08,4.5041e+00,107,100,1248,2.6793e-03,8.0128e-02,1.5885e+00,1.2728e-03,2.5141e+04,1.5283e-04,2.0938e-01
9.00,-15.08,4.0143e+00,100,100,4261,7.3340e-04,2.3469e-02,5.4390e+00,1.2764e-03,2.5070e+04,1.5257e-04,2.0974e-01
10.00,-14.08,3.5777e+00,101,100,18226,1.7317e-04,5.4867e-03,2.3332e+01,1.2801e-03,2.4997e+04,1.5262e-04,2.0967e-01
11.00,-13.08,3.1886e+00,100,100,94096,3.3211e-05,1.0627e-03,1.2088e+02,1.2846e-03,2.4910e+04,1.5261e-04,2.0968e-01
12.00,-12.08,2.8419e+00,100,100,826981,3.7788e-06,1.2092e-04,1.0656e+03,1.2885e-03,2.4835e+04,1.5257e-04,2.0974e-01
13.00,-11.08,2.5328e+00,100,100,14070591,2.2209e-07,7.1070e-06,1.8194e+04,1.2930e-03,2.4748e+04,1.5248e-04,2.0986e-01
