Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Lat(s),Dec_Thr(Mbps)
0.00,-24.08,1.1314e+01,426,100,102,1.3051e-01,9.8039e-01,1.1847e-01,1.1615e-03,2.7551e+04,2.5029e-05,1.2785e+00
1.00,-23.08,1.0083e+01,351,100,103,1.0649e-01,9.7087e-01,1.1779e-01,1.1436e-03,2.7983e+04,2.4494e-05,1.3064e+00
2.00,-22.08,8.9868e+00,257,100,105,7.6488e-02,9.5238e-01,1.2043e-01,1.1470e-03,2.7899e+04,2.4476e-05,1.3074e+00
3.00,-21.08,8.0095e+00,214,100,129,5.1841e-02,7.7519e-01,1.4814e-01,1.1484e-03,2.7866e+04,2.4554e-05,1.3033e+00
4.00,-20.08,7.1385e+00,174,100,140,3.8839e-02,7.1429e-01,1.6103e-01,1.1502e-03,2.7820e+04,2.4556e-05,1.3032e+00
5.00,-19.08,6.3622e+00,135,100,198,2.1307e-02,5.0505e-01,2.2778e-01,1.1504e-03,2.7816e+04,2.4608e-05,1.3004e+00
6.00,-18.08,5.6703e+00,118,100,320,1.1523e-02,3.1250e-01,3.6867e-01,1.1521e-03,2.7776e+04,2.4565e-05,1.3027e+00
7.00,-17.08,5.0536e+00,106,100,525,6.3095e-03,1.9048e-01,6.0603e-01,1.1543e-03,2.7722e+04,2.4529e-05,1.3046e+00
8.00,-16.08,4.5041e+00,107,100,1248,2.6793e-03,8.0128e-02,1.4453e+00,1.1581e-03,2.7632e+04,2.4531e-05,1.3045e+00
9.00,-15.08,4.0143e+00,100,100,4261,7.3340e-04,2.3469e-02,4.9508e+00,1.1619e-03,2.7542e+04,2.4592e-05,1.3012e+00
10.00,-14.08,3.5777e+00,101,100,18226,1.7317e-04,5.4867e-03,2.1259e+01,1.1664e-03,2.7434e+04,2.4517e-05,1.3052e+00
11.00,-13.08,3.1886e+00,100,100,94096,3.3211e-05,1.0627e-03,1.1012e+02,1.1703e-03,2.7343e+04,2.4522e-05,1.3050e+00
12.00,-12.08,2.8419e+00,100,100,826981,3.7788e-06,1.2092e-04,9.7128e+02,1.1745e-03,2.7246e+04,2.4525e-05,1.3048e+00
13.00,-11.08,2.5328e+00,100,100,14070591,2.2209e-07,7.1070e-06,1.6585e+04,1.1790e-03,2.7134e+04,2.4506e-05,1.3064e+00
