Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Lat(s),Dec_Thr(Mbps)
0.00,-24.08,1.1314e+01,426,100,102,1.3051e-01,9.8039e-01,1.1572e-01,1.1345e-03,2.8207e+04,1.8606e-04,1.7198e-01
1.00,-23.08,1.0083e+01,351,100,103,1.0649e-01,9.7087e-01,1.1328e-01,1.0998e-03,2.9096e+04,1.8134e-04,1.7646e-01
2.00,-22.08,8.9868e+00,257,100,105,7.6488e-02,9.5238e-01,1.1560e-01,1.1010e-03,2.9065e+04,1.8241e-04,1.7543e-01
3.00,-21.08,8.0095e+00,214,100,129,5.1841e-02,7.7519e-01,1.4231e-01,1.1032e-03,2.9006e+04,1.8182e-04,1.7600e-01
4.00,-20.08,7.1385e+00,174,100,140,3.8839e-02,7.1429e-01,1.5423e-01,1.1016e-03,2.9048e+04,1.8201e-04,1.7582e-01
5.00,-19.08,6.3622e+00,135,100,198,2.1307e-02,5.0505e-01,2.1798e-01,1.1009e-03,2.9067e+04,1.8190e-04,1.7592e-01
6.00,-18.08,5.6703e+00,118,100,320,1.1523e-02,3.1250e-01,3.5219e-01,1.1006e-03,2.9075e+04,1.8182e-04,1.7600e-01
7.00,-17.08,5.0536e+00,106,100,525,6.3095e-03,1.9048e-01,5.7720e-01,1.0994e-03,2.9106e+04,1.8095e-04,1.7685e-01
8.00,-16.08,4.5041e+00,107,100,1248,2.6793e-03,8.0128e-02,1.3728e+00,1.1000e-03,2.9091e+04,1.8175e-04,1.7607e-01
9.00,-15.08,4.0143e+00,100,100,4261,7.3340e-04,2.3469e-02,4.6863e+00,1.0998e-03,2.9096e+04,1.8139e-04,1.7642e-01
10.00,-14.08,3.5777e+00,101,100,18226,1.7317e-04,5.4867e-03,2.0050e+01,1.1001e-03,2.9089e+04,1.8127e-04,1.7653e-01
11.00,-13.08,3.1886e+00,100,100,94096,3.3211e-05,1.0627e-03,1.0346e+02,1.0996e-03,2.9103e+04,1.8098e-04,1.7682e-01
12.00,-12.08,2.8419e+00,100,100,826981,3.7788e-06,1.2092e-04,9.0899e+02,1.0992e-03,2.9113e+04,1.8072e-04,1.7707e-01
13.00,-11.08,2.5328e+00,100,100,14070591,2.2209e-07,7.1070e-06,1.5462e+04,1.0989e-03,2.9121e+04,1.8019e-04,1.7759e-01
