Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Lat(s),Dec_Thr(Mbps)
0.00,-24.08,1.1314e+01,316,100,103,9.5874e-02,9.7087e-01,1.2312e-01,1.1953e-03,2.6771e+04,4.1977e-05,7.6232e-01
1.00,-23.08,1.0083e+01,232,100,119,6.0924e-02,8.4034e-01,1.3789e-01,1.1587e-03,2.7617e+04,4.1086e-05,7.7885e-01
2.00,-22.08,8.9868e+00,184,100,129,4.4574e-02,7.7519e-01,1.4862e-01,1.1521e-03,2.7776e+04,4.1085e-05,7.7887e-01
3.00,-21.08,8.0095e+00,148,100,183,2.5273e-02,5.4645e-01,2.0987e-01,1.1468e-03,2.7903e+04,4.1113e-05,7.7834e-01
4.00,-20.08,7.1385e+00,120,100,293,1.2799e-02,3.4130e-01,3.3453e-01,1.1417e-03,2.8028e+04,4.1176e-05,7.7715e-01
5.00,-19.08,6.3622e+00,108,100,545,6.1927e-03,1.8349e-01,6.2094e-01,1.1393e-03,2.8087e+04,4.1095e-05,7.7869e-01
6.00,-18.08,5.6703e+00,106,100,1144,2.8955e-03,8.7413e-02,1.3023e+00,1.1384e-03,2.8110e+04,4.1126e-05,7.7810e-01
7.00,-17.08,5.0536e+00,100,100,3759,8.3134e-04,2.6603e-02,4.2815e+00,1.1390e-03,2.8095e+04,4.1104e-05,7.7852e-01
8.00,-16.08,4.5041e+00,100,100,14744,2.1195e-04,6.7824e-03,1.6722e+01,1.1341e-03,2.8215e+04,4.1108e-05,7.7843e-01
9.00,-15.08,4.0143e+00,100,100,71889,4.3470e-05,1.3910e-03,8.1350e+01,1.1316e-03,2.8278e+04,4.1104e-05,7.7852e-01
10.00,-14.08,3.5777e+00,100,100,625674,4.9946e-06,1.5983e-04,7.0735e+02,1.1305e-03,2.8305e+04,4.1136e-05,7.7790e-01
11.00,-13.08,3.1886e+00,100,100,7360499,4.2456e-07,1.3586e-05,8.3076e+03,1.1287e-03,2.8352e+04,4.1136e-05,7.7790e-01
