Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Lat(s),Dec_Thr(Mbps)
0.00,-24.08,1.1314e+01,405,100,102,1.2408e-01,9.8039e-01,1.1556e-01,1.1330e-03,2.8244e+04,6.0033e-06,5.3304e+00
1.00,-23.08,1.0083e+01,294,100,108,8.5069e-02,9.2593e-01,1.1738e-01,1.0869e-03,2.9443e+04,5.8662e-06,5.4550e+00
2.00,-22.08,8.9868e+00,207,100,122,5.3023e-02,8.1967e-01,1.3295e-01,1.0898e-03,2.9364e+04,5.8643e-06,5.4567e+00
3.00,-21.08,8.0095e+00,156,100,155,3.1452e-02,6.4516e-01,1.6896e-01,1.0901e-03,2.9355e+04,5.8661e-06,5.4551e+00
4.00,-20.08,7.1385e+00,125,100,255,1.5319e-02,3.9216e-01,2.7872e-01,1.0930e-03,2.9277e+04,5.9331e-06,5.3935e+00
5.00,-19.08,6.3622e+00,114,100,460,7.7446e-03,2.1739e-01,4.9934e-01,1.0855e-03,2.9479e+04,5.8748e-06,5.4470e+00
6.00,-18.08,5.6703e+00,110,100,899,3.8237e-03,1.1123e-01,9.7699e-01,1.0868e-03,2.9446e+04,5.8714e-06,5.4502e+00
7.00,-17.08,5.0536e+00,100,100,2903,1.0765e-03,3.4447e-02,3.1498e+00,1.0850e-03,2.9492e+04,5.9057e-06,5.4185e+00
8.00,-16.08,4.5041e+00,100,100,10790,2.8962e-04,9.2678e-03,1.1688e+01,1.0832e-03,2.9541e+04,5.8853e-06,5.4373e+00
9.00,-15.08,4.0143e+00,100,100,42393,7.3715e-05,2.3589e-03,4.5864e+01,1.0819e-03,2.9578e+04,5.8902e-06,5.4327e+00
10.00,-14.08,3.5777e+00,100,100,285560,1.0943e-05,3.5019e-04,3.0841e+02,1.0800e-03,2.9629e+04,5.8838e-06,5.4386e+00
11.00,-13.08,3.1886e+00,100,100,2327327,1.3427e-06,4.2968e-05,2.5096e+03,1.0783e-03,2.9676e+04,5.8891e-06,5.4337e+00
