Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Lat(s),Dec_Thr(Mbps)
0.00,-24.08,1.1314e+01,266,100,104,7.9928e-02,9.6154e-01,1.0367e-01,9.9680e-04,3.2103e+04,4.5534e-05,7.0277e-01
1.00,-23.08,1.0083e+01,200,100,121,5.1653e-02,8.2645e-01,1.1606e-01,9.5919e-04,3.3361e+04,4.4400e-05,7.2072e-01
2.00,-22.08,8.9868e+00,166,100,134,3.8713e-02,7.4627e-01,1.2846e-01,9.5863e-04,3.3381e+04,4.4344e-05,7.2163e-01
3.00,-21.08,8.0095e+00,146,100,232,1.9666e-02,4.3103e-01,2.2263e-01,9.5960e-04,3.3347e+04,4.4428e-05,7.2027e-01
4.00,-20.08,7.1385e+00,124,100,295,1.3136e-02,3.3898e-01,2.8306e-01,9.5952e-04,3.3350e+04,4.4441e-05,7.2006e-01
5.00,-19.08,6.3622e+00,108,100,578,5.8391e-03,1.7301e-01,5.5453e-01,9.5940e-04,3.3354e+04,4.4398e-05,7.2075e-01
6.00,-18.08,5.6703e+00,105,100,1169,2.8069e-03,8.5543e-02,1.1221e+00,9.5984e-04,3.3339e+04,4.4434e-05,7.2016e-01
7.00,-17.08,5.0536e+00,101,100,4529,6.9690e-04,2.2080e-02,4.3487e+00,9.6020e-04,3.3326e+04,4.4406e-05,7.2062e-01
8.00,-16.08,4.5041e+00,100,100,16029,1.9496e-04,6.2387e-03,1.5402e+01,9.6086e-04,3.3303e+04,4.4421e-05,7.2038e-01
9.00,-15.08,4.0143e+00,100,100,87155,3.5856e-05,1.1474e-03,8.3648e+01,9.5977e-04,3.3341e+04,4.4385e-05,7.2097e-01
10.00,-14.08,3.5777e+00,100,100,902144,3.4640e-06,1.1085e-04,8.6612e+02,9.6006e-04,3.3331e+04,4.4411e-05,7.2054e-01
11.00,-13.08,3.1886e+00,100,100,11453887,2.7283e-07,8.7307e-06,1.1001e+04,9.6048e-04,3.3317e+04,4.4435e-05,7.2016e-01
