Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Thr(Mbps),Src_Thr(Mbps),Unp_Thr(Mbps),Enc_Thr(Mbps),Mod_Thr(Mbps),Chn_Thr(Mbps),Dem_Thr(Mbps),Dec_Thr_Stats(Mbps),Mon_Thr(Mbps),Qua_Thr(Mbps)
0.00,-6.02,1.4142e+00,2016,100,100,7.8750e-02,1.0000e+00,2.6669e-03,2.6669e-05,9.5992e+00,1.7660e+03,2.3419e+02,7.3801e+02,1.4842e+03,4.9383e+03,4.6539e+01,3.5595e+03,1.7660e+03,2.2923e+03,4.5294e+02
1.00,-5.02,1.2604e+00,1491,100,100,5.8242e-02,1.0000e+00,2.5269e-03,2.5269e-05,1.0131e+01,1.9277e+03,2.9499e+02,8.7241e+02,1.8735e+03,7.2727e+03,4.8716e+01,3.7037e+03,1.9277e+03,2.4465e+03,4.7121e+02
2.00,-4.02,1.1233e+00,915,100,100,3.5742e-02,1.0000e+00,2.4539e-03,2.4539e-05,1.0432e+01,1.9802e+03,3.4722e+02,9.1116e+02,1.9704e+03,7.7670e+03,5.0016e+01,3.8462e+03,1.9802e+03,2.5723e+03,4.9133e+02
3.00,-3.02,1.0012e+00,599,100,100,2.3398e-02,1.0000e+00,2.3818e-03,2.3818e-05,1.0748e+01,2.0101e+03,3.2362e+02,9.4229e+02,2.0566e+03,7.8818e+03,5.1838e+01,3.9457e+03,2.0101e+03,2.6490e+03,4.8106e+02
4.00,-2.02,8.9231e-01,314,100,102,1.2025e-02,9.8039e-01,2.4172e-03,2.3698e-05,1.0803e+01,2.1031e+03,3.2797e+02,9.3578e+02,2.0711e+03,7.9804e+03,5.1898e+01,3.9805e+03,2.1031e+03,2.6070e+03,5.0409e+02
5.00,-1.02,7.9527e-01,185,100,118,6.1242e-03,8.4746e-01,2.7407e-03,2.3227e-05,1.1022e+01,2.1651e+03,3.8312e+02,9.5935e+02,2.1503e+03,8.1204e+03,5.2832e+01,4.0559e+03,2.1651e+03,2.5376e+03,5.1990e+02
6.00,-0.02,7.0879e-01,133,100,192,2.7059e-03,5.2083e-01,4.3037e-03,2.2415e-05,1.1421e+01,2.1664e+03,3.4286e+02,9.8715e+02,2.1453e+03,8.3934e+03,5.4865e+01,4.2256e+03,2.1664e+03,2.5473e+03,5.3421e+02
7.00,0.98,6.3171e-01,112,100,590,7.4153e-04,1.6949e-01,1.3239e-02,2.2438e-05,1.1409e+01,2.1923e+03,3.6219e+02,9.3391e+02,2.1801e+03,8.3245e+03,5.4798e+01,4.2133e+03,2.1923e+03,2.7299e+03,5.3401e+02
8.00,1.98,5.6301e-01,103,100,2049,1.9636e-04,4.8804e-02,4.5842e-02,2.2373e-05,1.1442e+01,2.2095e+03,3.6195e+02,9.8705e+02,2.1746e+03,8.3868e+03,5.4968e+01,4.2082e+03,2.2095e+03,2.8252e+03,5.3241e+02
9.00,2.98,5.0178e-01,100,100,11147,3.5043e-05,8.9710e-03,2.4936e-01,2.2370e-05,1.1444e+01,2.1968e+03,3.5967e+02,9.8693e+02,2.1693e+03,8.3869e+03,5.4962e+01,4.1917e+03,2.1968e+03,2.8243e+03,5.3237e+02
