Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s)
0.000000,-6.020600,1.414214,490,101,100,0.151609,0.990099,0.002430,0.000024
1.000000,-5.020600,1.260419,391,100,100,0.122188,1.000000,0.002194,0.000022
2.000000,-4.020600,1.123350,308,107,100,0.089953,0.934579,0.002352,0.000022
3.000000,-3.020600,1.001187,237,114,100,0.064967,0.877193,0.002433,0.000021
4.000000,-2.020600,0.892308,179,130,100,0.043029,0.769231,0.002677,0.000021
5.000000,-1.020600,0.795271,153,159,100,0.030071,0.628931,0.003051,0.000019
6.000000,-0.020600,0.708786,129,213,100,0.018926,0.469484,0.004071,0.000019
7.000000,0.979400,0.631706,115,485,100,0.007410,0.206186,0.009288,0.000019
8.000000,1.979400,0.563009,107,744,100,0.004494,0.134409,0.014066,0.000019
9.000000,2.979400,0.501782,105,2275,100,0.001442,0.043956,0.042786,0.000019
10.000000,3.979400,0.447214,101,5441,100,0.000580,0.018379,0.101586,0.000019
11.000000,4.979400,0.398580,100,22585,100,0.000138,0.004428,0.419523,0.000019
12.000000,5.979400,0.355234,100,202687,100,0.000015,0.000493,3.758243,0.000019
13.000000,6.979400,0.316603,100,1636532,100,0.000002,0.000061,30.312467,0.000019
14.000000,7.979400,0.282173,100,19820044,100,0.000000,0.000005,366.902037,0.000019
