Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Lat(s),Dec_Thr(Mbps)
0.00,-4.77,1.2247e+00,301,100,106,8.8738e-02,9.4340e-01,2.2528e-03,2.1253e-05,1.5057e+06,7.4544e-07,4.2927e+01
1.00,-3.77,1.0916e+00,268,100,111,7.5450e-02,9.0090e-01,2.3772e-03,2.1416e-05,1.4942e+06,7.3316e-07,4.3647e+01
2.00,-2.77,9.7285e-01,181,100,132,4.2850e-02,7.5758e-01,2.8013e-03,2.1222e-05,1.5079e+06,7.3725e-07,4.3405e+01
3.00,-1.77,8.6705e-01,148,100,170,2.7206e-02,5.8824e-01,3.6030e-03,2.1194e-05,1.5099e+06,7.4039e-07,4.3220e+01
4.00,-0.77,7.7276e-01,131,100,314,1.3037e-02,3.1847e-01,6.1880e-03,1.9707e-05,1.6238e+06,6.8307e-07,4.6848e+01
5.00,0.23,6.8872e-01,112,100,510,6.8627e-03,1.9608e-01,8.9867e-03,1.7621e-05,1.8160e+06,6.1445e-07,5.2079e+01
6.00,1.23,6.1383e-01,105,100,1252,2.6208e-03,7.9872e-02,2.1864e-02,1.7463e-05,1.8324e+06,6.0544e-07,5.2854e+01
7.00,2.23,5.4707e-01,100,100,3969,7.8735e-04,2.5195e-02,6.9266e-02,1.7452e-05,1.8336e+06,6.0728e-07,5.2694e+01
8.00,3.23,4.8758e-01,100,100,16013,1.9515e-04,6.2449e-03,2.7925e-01,1.7439e-05,1.8350e+06,6.1005e-07,5.2455e+01
9.00,4.23,4.3456e-01,100,100,78488,3.9815e-05,1.2741e-03,1.3684e+00,1.7435e-05,1.8354e+06,6.0889e-07,5.2555e+01
10.00,5.23,3.8730e-01,100,100,742334,4.2097e-06,1.3471e-04,1.2922e+01,1.7407e-05,1.8383e+06,6.0916e-07,5.2531e+01
11.00,6.23,3.4518e-01,100,100,9033986,3.4592e-07,1.1069e-05,1.5698e+02,1.7376e-05,1.8416e+06,6.0927e-07,5.2522e+01
12.00,7.23,3.0764e-01,100,100,202766819,1.5412e-08,4.9318e-07,3.5216e+03,1.7368e-05,1.8425e+06,6.0982e-07,5.2474e+01
