Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Lat(s),Dec_Thr(Mbps)
0.00,-4.77,1.2247e+00,1640,100,100,5.1250e-01,1.0000e+00,1.6003e-03,1.6003e-05,1.9996e+06,7.2130e-07,4.4364e+01
1.00,-3.77,1.0916e+00,1619,100,100,5.0594e-01,1.0000e+00,1.5965e-03,1.5965e-05,2.0044e+06,7.1425e-07,4.4802e+01
2.00,-2.77,9.7285e-01,1590,100,100,4.9687e-01,1.0000e+00,1.5561e-03,1.5561e-05,2.0564e+06,6.8960e-07,4.6404e+01
3.00,-1.77,8.6705e-01,1615,100,100,5.0469e-01,1.0000e+00,1.4970e-03,1.4970e-05,2.1376e+06,6.6435e-07,4.8167e+01
4.00,-0.77,7.7276e-01,1643,100,100,5.1344e-01,1.0000e+00,1.4959e-03,1.4959e-05,2.1392e+06,6.5827e-07,4.8612e+01
5.00,0.23,6.8872e-01,1565,100,100,4.8906e-01,1.0000e+00,1.4149e-03,1.4149e-05,2.2617e+06,6.2977e-07,5.0812e+01
6.00,1.23,6.1383e-01,1594,100,100,4.9812e-01,1.0000e+00,1.4079e-03,1.4079e-05,2.2729e+06,6.3360e-07,5.0505e+01
7.00,2.23,5.4707e-01,1580,100,100,4.9375e-01,1.0000e+00,1.4234e-03,1.4234e-05,2.2482e+06,6.2914e-07,5.0863e+01
8.00,3.23,4.8758e-01,1647,100,100,5.1469e-01,1.0000e+00,1.4079e-03,1.4079e-05,2.2729e+06,6.3009e-07,5.0786e+01
9.00,4.23,4.3456e-01,1618,100,100,5.0563e-01,1.0000e+00,1.4389e-03,1.4389e-05,2.2239e+06,6.2946e-07,5.0837e+01
10.00,5.23,3.8730e-01,1625,100,100,5.0781e-01,1.0000e+00,1.4127e-03,1.4127e-05,2.2652e+06,6.3171e-07,5.0656e+01
11.00,6.23,3.4518e-01,1588,100,100,4.9625e-01,1.0000e+00,1.4103e-03,1.4103e-05,2.2691e+06,6.2817e-07,5.0942e+01
12.00,7.23,3.0764e-01,1590,100,100,4.9687e-01,1.0000e+00,1.4258e-03,1.4258e-05,2.2444e+06,6.2912e-07,5.0865e+01
