Eb/N0(dB),Es/N0(dB),Sigma,BE,FN,FE,BER,FER,Time_Total(s),Time_Avg(s)
0.00000000,-3.01030016,1.00000000,285,111,100,0.08023649,0.90090090,0.00119376,0.00001075
1.00000000,-2.01030016,0.89125097,222,122,100,0.05686475,0.81967211,0.00132890,0.00001089
2.00000000,-1.01030016,0.79432827,175,126,100,0.04340278,0.79365081,0.00142177,0.00001128
3.00000000,-0.01030016,0.70794582,138,206,100,0.02093447,0.48543689,0.00233124,0.00001132
4.00000000,0.98969984,0.63095737,114,317,100,0.01123817,0.31545740,0.00343844,0.00001085
5.00000000,1.98969984,0.56234133,108,630,100,0.00535714,0.15873016,0.00628147,0.00000997
6.00000000,2.98969984,0.50118726,104,1419,100,0.00229035,0.07047217,0.01331764,0.00000939
7.00000000,3.98969984,0.44668362,102,4112,100,0.00077517,0.02431907,0.03859641,0.00000939
8.00000000,4.98969984,0.39810720,100,16745,100,0.00018662,0.00597193,0.15695600,0.00000937
9.00000000,5.98969984,0.35481340,100,95513,100,0.00003272,0.00104698,0.89618696,0.00000938
10.00000000,6.98969984,0.31622779,100,959481,100,0.00000326,0.00010422,9.00811250,0.00000939
11.00000000,7.98969984,0.28183830,100,10101448,100,0.00000031,0.00000990,94.78236468,0.00000938
12.00000000,8.98970032,0.25118864,100,329188852,100,0.00000001,0.00000030,3090.18741289,0.00000939
