Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Thr(Mbps),Src_Thr(Mbps),Unp_Thr(Mbps),Enc_Thr(Mbps),Mod_Thr(Mbps),Chn_Thr(Mbps),Dem_Thr(Mbps),Dec_Thr_Stats(Mbps),Mon_Thr(Mbps),Qua_Thr(Mbps)
0.00,-3.01,1.0000e+00,1929,100,100,7.5352e-02,1.0000e+00,3.1091e-03,3.1091e-05,8.2338e+00,1.5442e+03,1.6834e+02,5.3473e+02,1.5904e+03,3.2988e+03,1.9222e+01,2.1218e+03,1.5442e+03,1.7738e+03,3.1476e+02
1.00,-2.01,8.9125e-01,1406,100,100,5.4922e-02,1.0000e+00,1.4406e-03,1.4406e-05,1.7770e+01,2.0101e+03,2.6810e+02,8.1213e+02,2.4242e+03,4.8188e+03,4.5502e+01,2.9038e+03,2.0101e+03,2.4998e+03,4.3300e+02
2.00,-1.01,7.9433e-01,1017,100,100,3.9727e-02,1.0000e+00,1.4590e-03,1.4590e-05,1.7546e+01,2.2790e+03,2.6882e+02,8.1627e+02,2.4390e+03,5.0468e+03,4.4701e+01,2.8571e+03,2.2790e+03,2.3739e+03,4.3160e+02
3.00,-0.01,7.0795e-01,554,100,100,2.1641e-02,1.0000e+00,1.4386e-03,1.4386e-05,1.7795e+01,2.2989e+03,2.8169e+02,8.2130e+02,2.4540e+03,4.7761e+03,4.5528e+01,2.8725e+03,2.2989e+03,2.3739e+03,4.2848e+02
4.00,0.99,6.3096e-01,332,100,104,1.2470e-02,9.6154e-01,1.5156e-03,1.4573e-05,1.7567e+01,2.2666e+03,2.6196e+02,8.1327e+02,2.4186e+03,4.9226e+03,4.4831e+01,2.8444e+03,2.2666e+03,2.4186e+03,4.2929e+02
5.00,1.99,5.6234e-01,166,100,133,4.8755e-03,7.5188e-01,1.9148e-03,1.4397e-05,1.7781e+01,2.3079e+03,2.7251e+02,8.0296e+02,2.3748e+03,4.9259e+03,4.5524e+01,2.8835e+03,2.3079e+03,2.3130e+03,4.3005e+02
6.00,2.99,5.0119e-01,141,100,220,2.5036e-03,4.5455e-01,3.3752e-03,1.5342e-05,1.6686e+01,2.4343e+03,2.8534e+02,8.6018e+02,1.4251e+03,5.0575e+03,4.8032e+01,3.0503e+03,2.4343e+03,2.2915e+03,1.8670e+02
7.00,3.99,4.4668e-01,108,100,539,7.8270e-04,1.8553e-01,7.0123e-03,1.3010e-05,1.9678e+01,2.6748e+03,3.1519e+02,9.6010e+02,2.8425e+03,5.7799e+03,4.9510e+01,3.4073e+03,2.6748e+03,2.8108e+03,5.0519e+02
8.00,4.99,3.9811e-01,101,100,1601,2.4643e-04,6.2461e-02,1.9467e-02,1.2159e-05,2.1054e+01,2.7584e+03,3.2421e+02,9.6960e+02,2.8730e+03,5.8019e+03,5.3687e+01,3.4723e+03,2.7584e+03,2.8665e+03,5.1424e+02
9.00,5.99,3.5481e-01,103,100,12176,3.3044e-05,8.2129e-03,1.4540e-01,1.1941e-05,2.1438e+01,2.7808e+03,3.2617e+02,9.8105e+02,2.8491e+03,5.8869e+03,5.4789e+01,3.4985e+03,2.7808e+03,2.9376e+03,5.1852e+02
10.00,6.99,3.1623e-01,100,100,106585,3.6649e-06,9.3822e-04,1.2724e+00,1.1938e-05,2.1444e+01,2.7714e+03,3.2598e+02,9.8037e+02,2.9011e+03,5.8596e+03,5.4822e+01,3.5005e+03,2.7714e+03,2.9444e+03,5.1825e+02
11.00,7.99,2.8184e-01,100,100,1483535,2.6331e-07,6.7407e-05,1.7722e+01,1.1946e-05,2.1430e+01,2.7784e+03,3.2598e+02,9.7819e+02,2.8994e+03,5.8753e+03,5.4774e+01,3.4963e+03,2.7784e+03,2.9428e+03,5.1836e+02
12.00,8.99,2.5119e-01,100,100,40280792,9.6976e-09,2.4826e-06,4.8118e+02,1.1946e-05,2.1430e+01,2.7767e+03,3.2566e+02,9.7612e+02,2.9007e+03,5.8707e+03,5.4784e+01,3.4979e+03,2.7767e+03,2.9448e+03,5.1820e+02
