Eb/N0(dB),Es/N0(dB),Sigma,BE,FE,FN,BER,FER,Time_Total(s),Time_Avg(s),Sim_thr,Dec_Thr(Mbps),Src_Thr(Mbps),Unp_Thr(Mbps),Enc_Thr(Mbps),Mod_Thr(Mbps),Chn_Thr(Mbps),Dem_Thr(Mbps),Dec_Thr_Stats(Mbps),Mon_Thr(Mbps),Qua_Thr(Mbps)
0.00,0.00,7.0711e-01,269,100,108,7.7836e-02,9.2593e-01,6.8259e-04,6.3203e-06,5.0631e+00,2.1609e+02,2.1986e+01,0.0000e+00,1.4272e+02,3.9425e+02,9.3297e+00,3.9866e+02,2.1609e+02,1.6592e+02,0.0000e+00
1.00,1.00,6.3021e-01,226,100,113,6.2500e-02,8.8496e-01,7.0102e-04,6.2037e-06,5.1582e+00,2.1489e+02,2.2147e+01,0.0000e+00,1.4346e+02,4.4847e+02,9.5207e+00,4.2322e+02,2.1489e+02,1.7496e+02,0.0000e+00
2.00,2.00,5.6167e-01,162,100,133,3.8064e-02,7.5188e-01,8.5657e-04,6.4404e-06,4.9687e+00,2.1385e+02,2.2164e+01,0.0000e+00,1.4413e+02,4.3611e+02,8.8472e+00,4.1832e+02,2.1385e+02,1.9003e+02,0.0000e+00
3.00,3.00,5.0059e-01,142,100,175,2.5357e-02,5.7143e-01,1.0812e-03,6.1785e-06,5.1793e+00,2.1240e+02,2.2232e+01,0.0000e+00,1.4574e+02,4.2693e+02,9.5018e+00,4.0996e+02,2.1240e+02,1.9296e+02,0.0000e+00
4.00,4.00,4.4615e-01,117,100,288,1.2695e-02,3.4722e-01,1.7763e-03,6.1677e-06,5.1883e+00,2.2041e+02,2.2082e+01,0.0000e+00,1.4388e+02,4.2673e+02,9.5351e+00,4.1510e+02,2.2041e+02,1.9475e+02,0.0000e+00
5.00,5.00,3.9764e-01,115,100,572,6.2828e-03,1.7483e-01,3.5376e-03,6.1846e-06,5.1741e+00,2.1573e+02,2.2192e+01,0.0000e+00,1.4495e+02,4.2787e+02,9.4848e+00,4.2537e+02,2.1573e+02,1.9237e+02,0.0000e+00
6.00,6.00,3.5439e-01,105,100,1486,2.2081e-03,6.7295e-02,1.2186e-02,8.2008e-06,3.9021e+00,1.3797e+02,1.6640e+01,0.0000e+00,1.0896e+02,3.3248e+02,7.1830e+00,3.2731e+02,1.3797e+02,1.4897e+02,0.0000e+00
7.00,7.00,3.1585e-01,100,100,4214,7.4158e-04,2.3730e-02,2.8112e-02,6.6710e-06,4.7969e+00,2.0268e+02,2.0534e+01,0.0000e+00,1.2865e+02,4.0563e+02,8.8078e+00,3.8968e+02,2.0268e+02,1.8219e+02,0.0000e+00
8.00,8.00,2.8150e-01,100,100,17644,1.7711e-04,5.6676e-03,9.0423e-02,5.1249e-06,6.2441e+00,2.6212e+02,2.6628e+01,0.0000e+00,1.7347e+02,5.1524e+02,1.1464e+01,5.0341e+02,2.6212e+02,2.4143e+02,0.0000e+00
9.00,9.00,2.5089e-01,100,100,75694,4.1285e-05,1.3211e-03,3.8632e-01,5.1037e-06,6.2700e+00,2.6195e+02,2.6723e+01,0.0000e+00,1.7431e+02,5.1518e+02,1.1511e+01,5.0360e+02,2.6195e+02,2.4558e+02,0.0000e+00
10.00,10.00,2.2361e-01,100,100,857537,3.6442e-06,1.1661e-04,4.3780e+00,5.1053e-06,6.2680e+00,2.6179e+02,2.6722e+01,0.0000e+00,1.7429e+02,5.1604e+02,1.1508e+01,5.0396e+02,2.6179e+02,2.4379e+02,0.0000e+00
11.00,11.00,1.9929e-01,100,100,11880488,2.6304e-07,8.4172e-06,6.0680e+01,5.1075e-06,6.2653e+00,2.6199e+02,2.6723e+01,0.0000e+00,1.7428e+02,5.1648e+02,1.1498e+01,5.0432e+02,2.6199e+02,2.4361e+02,0.0000e+00
12.00,12.00,1.7762e-01,100,100,382752750,8.1645e-09,2.6127e-07,1.9475e+03,5.0882e-06,6.2890e+00,2.6169e+02,2.6710e+01,0.0000e+00,1.7416e+02,5.1590e+02,1.1497e+01,5.0411e+02,2.6169e+02,2.8788e+02,0.0000e+00
